Player,Year,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF
Joel Embiid,2016-17,31,31,25.4,20.23,6.45,13.84,0.466,1.16,3.16,0.367,6.16,7.87,0.783,1.97,5.87,7.84,2.13,0.87,2.45,3.77,3.61
Luka Doncic,2017-18,63,63,30.4,22.94,8.1,16.76,0.483,1.05,3.4,0.308,5.7,7.41,0.769,2.27,8.68,10.95,3.16,0.63,1.76,3.71,3.32
Damian Lillard,2018-19,64,64,33.7,27.52,9.06,18.73,0.484,1.23,4.11,0.3,8.16,10.14,0.804,2.5,11.09,13.59,3.66,0.72,1.91,3.53,3.3
Shai Gilgeous-Alexander,2019-20,51,51,29.5,22.98,7.49,15.71,0.477,1.12,3.37,0.331,6.88,8.53,0.807,2.76,8.86,11.63,2.98,0.88,1.27,3.12,3.41
Giannis Antetokounmpo,2020-21,51,51,31.1,28.45,9.04,17.63,0.513,1.14,3.02,0.377,9.24,10.75,0.859,2.22,8.35,10.57,2.84,0.98,1.35,3.12,2.41
Jayson Tatum,2021-22,68,68,33.8,30.57,9.79,19.62,0.499,1.37,3.69,0.371,9.62,11.81,0.814,2.15,9.56,11.71,4.18,1.13,1.46,3.15,2.66
Stephen Curry,2022-23,66,66,34.6,33.08,11.03,20.12,0.548,1,3.03,0.33,10.02,11.68,0.857,1.71,8.44,10.15,4.15,1,1.7,3.42,3.11
Joel Embiid,2018-19,72,72,32.2,21.19,7.03,16.47,0.427,2.33,7.14,0.327,4.81,6.74,0.713,1.19,6.62,7.82,5.96,1.07,0.35,3.43,1.9
Luka Doncic,2019-20,61,61,33.6,28.84,9.52,20.57,0.463,2.8,8.87,0.316,6.98,9.21,0.758,1.28,8.11,9.39,8.82,1,0.23,4.26,2.51
Damian Lillard,2020-21,66,66,34.3,27.73,9.8,20.47,0.479,2.91,8.3,0.35,5.21,7.14,0.73,0.82,7.17,7.98,8.59,0.97,0.55,4.26,2.3
Shai Gilgeous-Alexander,2021-22,65,65,35.4,28.42,9.86,21.58,0.457,3.09,8.75,0.353,5.6,7.52,0.744,0.86,8.26,9.12,8.74,1.15,0.55,4.49,2.23
